query_id,hit_rate@5,precision@5,ndcg@5
1,1.0,1.0,1.0
2,1.0,0.8,1.0
3,1.0,0.8,0.9558295932317544
4,0.0,0.0,0.0
5,1.0,0.8,1.0
6,1.0,0.8,0.9558295932317544
7,1.0,0.8,1.0
8,1.0,1.0,1.0
9,1.0,0.8,1.0
10,1.0,0.6,1.0
11,1.0,0.6,1.0
12,1.0,0.8,0.9828920819566879
13,1.0,1.0,1.0
14,1.0,0.6,0.8529278650606567
15,1.0,0.6,0.8529278650606567
16,1.0,0.6,0.8854598815714874
17,1.0,1.0,1.0
18,1.0,1.0,1.0
19,1.0,0.8,0.7606395682357036
20,1.0,0.8,0.9047172294870751
21,1.0,1.0,1.0
22,1.0,0.8,0.9047172294870751
23,1.0,0.8,0.9558295932317544
24,1.0,0.6,1.0
25,1.0,0.6,1.0
26,1.0,0.6,0.9469024295259745
27,1.0,0.4,0.6240505200038379
28,1.0,0.6,0.9060254355346823
29,1.0,0.8,1.0
30,1.0,0.8,0.9828920819566879
31,1.0,0.6,0.9674679834891693
32,1.0,0.2,0.5
33,1.0,0.8,0.9828920819566879
34,1.0,0.6,0.9060254355346823
35,1.0,0.6,0.8854598815714874
36,1.0,0.6,1.0
37,1.0,0.8,1.0
38,1.0,0.2,0.5
39,1.0,0.8,1.0
40,1.0,0.6,0.9674679834891693
